rep,fM1_pop,omega_fM1,fM2_pop,omega_fM2,theta_1_pop,omega_theta_1,theta_2_pop,omega_theta_2,delta_V,delta_S,delta_Ab,alpha_1,sigma_Ab,sigma_1,group
1,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
2,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
3,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
4,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
5,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
6,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
7,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
8,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
9,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
10,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
11,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
12,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
13,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
14,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
15,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
16,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
17,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
18,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
19,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
20,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
21,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
22,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
23,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
24,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
25,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
26,1,1.72,1.65,0.847,0.426,0.893,6.12,0.247,2.7,0.0322,0.08,0.236,0.644,0.0557,simulationGroup1
