rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha,k,sigma_Ab,sigma_G1,sigma_G2,group
1,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
1,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
2,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
2,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
3,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
3,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
4,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
4,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
5,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
5,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
6,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
6,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
7,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
7,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
8,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
8,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
9,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
9,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
10,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
10,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
11,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
11,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
12,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
12,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
13,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
13,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
14,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
14,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
15,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
15,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
16,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
16,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
17,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
17,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
18,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
18,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
19,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
19,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
20,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
20,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
21,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
21,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
22,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
22,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
23,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
23,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
24,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
24,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
25,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
25,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
26,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
26,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
27,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
27,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
28,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
28,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
29,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
29,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
30,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
30,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
31,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
31,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
32,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
32,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
33,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
33,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup2
34,15,0.5600000000000001,1.3,0.4,2.7,0.01,0.03,0.2,0.25,0.25,0.5,0.1,simulationGroup1
