rep,fM1_pop,omega_fM1,theta_pop,omega_theta,mu_1_pop,mu_2_pop,mu_3_pop,mu_4_pop,mu_5_pop,omega_mu_1,omega_mu_2,omega_mu_3,omega_mu_4,omega_mu_5,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,sigma_Ab,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,group
1,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
2,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
3,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
4,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
5,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
6,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
7,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
8,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
9,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
10,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
11,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
12,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
13,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
14,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
15,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
16,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
17,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
18,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
19,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
20,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
21,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
22,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
23,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
24,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
25,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
26,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
27,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
28,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
29,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
30,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
31,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
32,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
33,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
34,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
35,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
36,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
37,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
38,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
39,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
40,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
41,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
42,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
43,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
44,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
45,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
46,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
47,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
48,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
49,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
50,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
51,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
52,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
53,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
54,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
55,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
56,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
57,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
58,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
59,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
60,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
61,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
62,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
63,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
64,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
65,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
66,4.5,0.8,18.7,0.5,0.91,0.49,0.26,1.64,1.34,0.65,0.27,0.51,0.57,0.98,2.7,0.01,0.03,0.1,0.23,0.54,0.32,0.18,0.23,0.1,0.1,0.1,0.1,0.1,simulationGroup1
