rep,fM1_pop,omega_fM1,theta_pop,omega_theta,delta_V,delta_S,delta_Ab,alpha_1,alpha_2,sigma_Ab,sigma_1,sigma_2,group
1,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
1,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
2,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
2,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
3,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
3,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
4,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
4,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
5,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
5,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
6,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
6,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
7,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
7,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
8,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
8,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
9,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
9,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
10,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
10,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
11,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
11,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
12,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
12,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
13,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
13,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
14,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
14,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
15,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
15,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
16,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
16,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
17,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
17,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
18,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
18,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
19,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
19,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
20,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
20,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
21,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
21,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
22,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
22,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
23,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
23,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
24,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
24,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
25,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
25,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
26,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
26,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
27,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
27,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
28,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
28,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
29,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
29,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
30,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
30,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
31,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
31,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
32,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
32,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
33,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
33,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
34,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
34,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
35,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
35,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
36,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
36,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
37,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
37,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
38,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
38,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
39,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup1
39,4.5,0.8,18.7,0.5,2.7,0.01,0.03,0.1,0.54,0.23,0.1,0.1,simulationGroup2
